Continent,Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
North America,Saint Kitts and Nevis,Parliamentary,2020,0.5841,28139,48173,0.6847,41095,53821,0.0056,No
North America,Saint Kitts and Nevis,Parliamentary,2015,0.7219,30455,42185,0.773,39400,54900,0.0051,No
North America,Saint Kitts and Nevis,Parliamentary,2010,0.8351,27364,32766,0.7625,35885,49898,0.0043,No
North America,Saint Kitts and Nevis,Parliamentary,2004,0.5898,22922,38865,0.9142,25073,38836,0.015,No
North America,Saint Kitts and Nevis,Parliamentary,2000,0.6424,21949,34166,0.8477,25892,40976,0.005,No
North America,Saint Lucia,Parliamentary,2021,0.5108,89052,174332,0.6911,128856,166637,0.019,No
North America,Saint Lucia,Parliamentary,2016,0.5345,86525,161883,0.6999,123629,164464,0.0257,No
North America,Saint Lucia,Parliamentary,2011,0.5684,85821,150996,0.7431,115490,161557,0.0252,No
North America,Saint Lucia,Parliamentary,2006,0.5846,77487,132545,0.7445,104083,168458,0.0223,No
North America,Saint Lucia,Parliamentary,2001,0.3154,62805,199100,0.6442,97495,154400,0.0206,No
North America,Saint Vincent and The Grenadines,Parliamentary,2020,0.6695,65689,98119,0.8581,76548,101390,0.005,No
North America,Saint Vincent and The Grenadines,Parliamentary,2015,0.7339,65706,89527,0.8806,74617,102627,0.0031,No
North America,Saint Vincent and The Grenadines,Parliamentary,2010,0.6233,62993,101067,0.8726,72190,104217,0.003,No
North America,Saint Vincent and The Grenadines,Parliamentary,2005,0.6368,57982,91045,0.8138,71251,117534,0.006,No
North America,Saint Vincent and The Grenadines,Parliamentary,2001,0.692,58498,84536,0.9142,63986,114417,0.004,No
Oceania,Samoa,Parliamentary,2021,0.6947,89514,128848,0.7367,121507,204898,0.0068,Yes
Oceania,Samoa,Parliamentary,2016,0.7306,73132,100097,0.6611,110622,198926,0,No
Oceania,Samoa,Parliamentary,2001,0.8254,76934,93213,0.7662,100416,182574,0.006,No
Oceania,Samoa,Parliamentary,2006,0,0,79284,0,111483,177287,0,No
Oceania,Samoa,Parliamentary,2011,0,0,0,0,100597,193161,0,No
Europe,San Marino,Parliamentary,2019,0.5573,19234,34511,0.6921,27790,34010,0.0658,No
Europe,San Marino,Parliamentary,2016,0.5966,20276,33985,0.7524,26948,33285,0.0419,No
Europe,San Marino,Parliamentary,2012,0.6385,21138,33106,0.8205,25761,32140,0.0643,No
Europe,San Marino,Parliamentary,2008,0.6848,21806,31845,0.8848,24646,30749,0.0383,No
Europe,San Marino,Parliamentary,2006,0.7184,22815,31759,0.9806,23266,29251,0.034,No
Europe,San Marino,Parliamentary,2001,0.738,22648,30688,1.0283,22024,26986,0.038,No
Africa,Sao Tome and Principe,Parliamentary,2022,0.6567,80974,123302,0.6812,118862,217164,0.0357,No
Africa,Sao Tome and Principe,Parliamentary,2018,0.8065,78456,97274,0.7449,105318,204454,0.0412,No
Africa,Sao Tome and Principe,Parliamentary,2010,0.8845,70136,79296,0.8166,85885,175808,0.0218,No
Africa,Sao Tome and Principe,Parliamentary,2006,0.6685,53378,79849,0.6293,84825,151912,0.0242,No
Africa,Sao Tome and Principe,Parliamentary,2002,0.6629,40412,60961,0.5443,74244,147000,0.031,No
Africa,Sao Tome and Principe,Presidential,2021,0.6776,83547,123298,0.724,115401,213948,0.029,No
Africa,Sao Tome and Principe,Presidential,2016,0.6431,71524,111222,0.5149,99483,197541,0.0324,No
Africa,Sao Tome and Principe,Presidential,2011,0.7409,68640,92639,0.7128,96302,179591,0,No
Africa,Sao Tome and Principe,Presidential,2006,0.6495,59178,91119,0.6976,84825,151912,0.028,No
Africa,Sao Tome and Principe,Presidential,2001,0.7055,47535,67374,0.7042,67504,144703,0.015,No
Africa,Senegal,Parliamentary,2022,0.4664,3281583,7036466,0.3692,8888302,16445897,0.0063,No
Africa,Senegal,Parliamentary,2017,0.5366,3337494,6219446,0.4394,7596246,14668522,0.0081,No
Africa,Senegal,Parliamentary,2012,0.3667,1968852,5368783,0.3027,6504093,12969606,0.0035,No
Africa,Senegal,Parliamentary,2007,0.3475,1738675,5004096,0.2759,6301663,12521851,0.011,No
Africa,Senegal,Parliamentary,2001,0.6726,1888911,2808253,0.4099,4607716,9716196,0.006,No
